"Key","GivenName","FamilyName","Population","Title","Department","Enabled","MfaEnabled","BadgeId","Contractor","Entitlements","Groups","Tier","Purpose"
"garthf","Garth","Fort","staff","HR Manager","Human Resources","TRUE","TRUE","B-3011","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Human Resources)"
"cesarg","Cesar","Garcia","staff","Strategy Consulting Manager","Strategy Consulting","TRUE","TRUE","B-3012","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"christg","Christa","Geller","staff","CVP of Online","Executive","TRUE","TRUE","B-3013","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Executive)"
"jackc","Jack","Creasey","staff","Managing Director","Sales Engagement Management","TRUE","FALSE","B-3014","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales Engagement Management)"
"davidm","David","Maman","staff","Strategy Consulting Manager","Strategy Consulting","TRUE","TRUE","B-3015","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"alanb","Alan","Brewer","staff","Regional Sales Manager","Sales","TRUE","TRUE","B-3016","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"davids","David","Simpson","staff","Sales Manager","Sales Engagement Management","TRUE","TRUE","B-3017","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales Engagement Management)"
"annal","Anna","Lidman","staff","SVP of Online Services","Senior Management","TRUE","FALSE","B-3018","FALSE","","all-staff","Bulk","Bulk directory volume (Senior Management)"
"eduardd","Eduard","Dell","staff","Regional Sales Manager","Sales","TRUE","TRUE","B-3019","FALSE","wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"spencel","Spencer","Low","staff","Regional Sales Manager","Sales","TRUE","FALSE","B-3020","FALSE","wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"kellyw","Kelly","Weadock","staff","CTO of Professional Services","Operations","TRUE","FALSE","B-3021","FALSE","","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"mollyc","Molly","Clark","staff","GM of Online Ad Sales and Affiliate Marketing","Senior Management","TRUE","TRUE","B-3022","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Senior Management)"
"larryz","Larry","Zhang","staff","Regional Sales Manager","Sales","TRUE","TRUE","B-3023","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"arturol","Arturo","Lopez","staff","IT Director","Operations","TRUE","TRUE","B-3024","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"aprils","April","Stewart","staff","Sales Manager","Sales","TRUE","TRUE","B-3025","FALSE","","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"aaronp","Aaron","Painter","partners","Strategy Consulting Manager","Strategy Consulting","TRUE","FALSE","B-3026","FALSE","","partners","Bulk","Bulk directory volume (Strategy Consulting)"
"andrewm","Andrew","Ma","staff","Senior Project Manager","Project Management","TRUE","TRUE","B-3027","FALSE","","all-staff","Bulk","Bulk directory volume (Project Management)"
"dianep","Diane","Prescott","staff","Director of Ad Sales","Marketing","TRUE","FALSE","B-3028","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Marketing)"
"arthury","Arthur","Yasinski","staff","Sales Manager","Sales Engagement Management","TRUE","FALSE","B-3029","FALSE","vpn;wiki","all-staff;sales","Bulk","Bulk directory volume (Sales Engagement Management)"
"brads","Brad","Sutton","contractors","Strategy Consulting Manager","Strategy Consulting","TRUE","TRUE","B-3030","FALSE","wiki","contractors","Bulk","Bulk directory volume (Strategy Consulting)"
"amya","Amy","Alberts","staff","HR Manager","Human Resources","TRUE","FALSE","B-3031","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Human Resources)"
"stevel","Steve","Luper","staff","Regional Sales Manager","Sales","TRUE","TRUE","B-3032","FALSE","wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"juliani","Julian","Isla","staff","Sr. Business Development Manager","Senior Management","TRUE","TRUE","B-3033","FALSE","","all-staff","Bulk","Bulk directory volume (Senior Management)"
"scottb","Scott","Bishop","staff","Senior Project Manager","Project Management","TRUE","TRUE","B-3034","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Project Management)"
"kellyk","Kelly","Krout","staff","Marketing Manager","Marketing","TRUE","TRUE","B-3035","FALSE","","all-staff","Bulk","Bulk directory volume (Marketing)"
"stano","Stan","Orme","contractors","Content Management Consulting Manager","Content Management Consulting","TRUE","FALSE","B-3036","FALSE","wiki","contractors","Bulk","Bulk directory volume (Content Management Consulting)"
"miken","Mike","Nash","staff","Senior Project Manager","Project Management","TRUE","FALSE","B-3037","FALSE","","all-staff","Bulk","Bulk directory volume (Project Management)"
"jennim","Jenni","Merrifield","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3038","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"keithd","Keith","Dishmo","staff","Procurement Manager","Operations","TRUE","TRUE","B-3039","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"joses","Jose","Saraiva","staff","Sales Manager","Sales","TRUE","TRUE","B-3040","FALSE","wiki","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"lenea","Lene","Aalling","staff","Sales Manager","Sales Engagement Management","TRUE","TRUE","B-3041","FALSE","wiki","all-staff;sales","Bulk","Bulk directory volume (Sales Engagement Management)"
"barryj","Barry","Johnson","staff","Project Manager","Project Management","TRUE","TRUE","B-3042","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Project Management)"
"ellena","Ellen","Adams","partners","Strategy Consulting Manager","Strategy Consulting","TRUE","TRUE","B-3043","FALSE","","partners","Bulk","Bulk directory volume (Strategy Consulting)"
"bens","Ben","Spain","staff","Manager","Operations","TRUE","TRUE","B-3044","FALSE","wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"davidz","David","Zazzo","staff","Managing Director","Engineering Operations","TRUE","TRUE","B-3045","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"carolt","Carol","Troup","staff","Strategy Consulting Manager","Engineering Operations","TRUE","TRUE","B-3046","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"erikac","Erika","Cheley","staff","Manager","Operations","TRUE","FALSE","B-3047","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Operations)"
"briang","Brian","Groth","staff","Project Manager","Project Management","TRUE","TRUE","B-3048","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Project Management)"
"syeda","Syed","Abbas","staff","CRM Consulting Manager","CRM Strategy","TRUE","TRUE","B-3049","FALSE","","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"pedert","Peder","Thode","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3050","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"maryc","Mary","Cha","staff","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3051","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"lisaa","Lisa","Andrews","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3052","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"jiml","Jim","Lucey","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3053","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"garethc","Gareth","Chan","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3054","FALSE","","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"karinl","Karin","Lamb","staff","CRM Consultant","CRM Strategy","TRUE","FALSE","B-3055","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"davidh","David","Hamilton","staff","CRM Consultant","Content Management Consulting","TRUE","TRUE","B-3056","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"meravs","Merav","Sror","staff","CRM Consultant","CRM Strategy","TRUE","FALSE","B-3057","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"reinac","Reina","Cabatana","staff","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3058","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"robiny","Robin","Young","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3059","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"peters","Peter","Saddow","staff","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3060","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"vladime","Vladimir","Egorov","partners","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3061","FALSE","","partners","Bulk","Bulk directory volume (Content Management Consulting)"
"estherv","Esther","Valle","contractors","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3062","FALSE","wiki","contractors","Bulk","Bulk directory volume (Content Management Consulting)"
"lorik","Lori","Kane","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3063","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"cliffd","Cliff","Diddier","staff","Engineer","Engineering Operations","TRUE","FALSE","B-3064","FALSE","wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"cheny","Chen","Yang","staff","Engineer","Engineering Operations","TRUE","TRUE","B-3065","FALSE","wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"bernart","Bernard","Tham","staff","Engineer","Engineering Operations","TRUE","FALSE","B-3066","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"aris","Ari","Suominen","partners","Engineer","Engineering Operations","TRUE","FALSE","B-3067","FALSE","","partners","Bulk","Bulk directory volume (Engineering Operations)"
"anud","Anu","Deshpande","staff","Engineer","Creative","TRUE","FALSE","B-3068","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Creative)"
"allang","Allan","Guinot","staff","Engineer","Engineering Operations","TRUE","FALSE","B-3069","FALSE","wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"tobyn","Toby","Nixon","staff","CRM Consultant","CRM Strategy","TRUE","TRUE","B-3070","FALSE","wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"tado","Tad","Orman","staff","CRM Consultant","CRM Strategy","TRUE","TRUE","B-3071","FALSE","","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"jeffw","Jeff","Williams","staff","CRM Consultant","CRM Strategy","TRUE","TRUE","B-3072","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"frankm","Frank","Miller","contractors","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3073","FALSE","wiki","contractors","Bulk","Bulk directory volume (Strategy Consulting)"
"williav","William","Vong","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3074","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"sameert","Sameer","Tejani","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3075","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"jonj","Jon","Jaffe","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3076","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"miker","Mike","Ray","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3077","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"roberto","Robert","O'Hara","partners","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3078","FALSE","","partners","Bulk","Bulk directory volume (Content Management Consulting)"
"lisam","Lisa","Miller","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3079","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"jasonc","Jason","Carlson","staff","CRM Consultant","CRM Strategy","TRUE","FALSE","B-3080","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"jimc","Jim","Corbin","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3081","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"jesuse","Jesus","Escolar","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3082","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"idanr","Idan","Rubin","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3083","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"donh","Don","Hall","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3084","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"blained","Blaine","Dockter","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3085","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"annew","Anne","Weiler","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3086","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"allisob","Allison","Brown","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3087","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"valeryu","Valery","Ushakov","staff","Engineer","Engineering Operations","TRUE","TRUE","B-3088","FALSE","vpn;wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"toshm","Tosh","Meston","staff","CRM Consultant","CRM Strategy","TRUE","TRUE","B-3089","FALSE","","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"sanjayp","Sanjay","Patel","partners","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3090","FALSE","","partners","Bulk","Bulk directory volume (Content Management Consulting)"
"rolandw","Roland","Wacker","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3091","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"davidd","David","Derwin","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3092","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"johny","John","Yokum","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3093","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"scottr","Scott","Rockfield","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3094","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"humbera","Humberto","Acevedo","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3095","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"davids1","David","So","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3096","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"andersm","Anders","Madsen","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3097","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"alexans","Alexandre","Silva","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3098","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"stuartm","Stuart","Munson","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3099","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"qiongw","Qiong","Wu","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3100","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"michiko","Michiko","Osada","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3101","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"michaez","Michael","Zeman","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3102","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"maurict","Maurice","Taylor","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3103","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"guidop","Guido","Pica","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3104","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"jessica","Jessica","Arnold","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3105","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"chasec","Chase","Carpenter","staff","Accountant","Accounting","TRUE","TRUE","B-3106","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Accounting)"
"terrenp","Terrence","Phillip","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3107","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"hugog","Hugo","Garcia","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3108","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"jeremyl","Jeremy","Los","contractors","Strategy Consultant","1099 Contractor","TRUE","FALSE","B-3109","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"johng","John","Ganio","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3110","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"linaa","Lina","Abola","contractors","Strategy Consultant","1099 Contractor","TRUE","FALSE","B-3111","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"markh","Mark","Hanson","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3112","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"jakas","Jaka","Stele","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3113","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"stevenw","Steven","Wright","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3114","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"doughm","Dough","Mahugh","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3115","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"andread","Andrea","Dunker","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3116","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"carlosg","Carlos","Grilo","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3117","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"chrism","Chris","McGurk","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3118","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"danb","Dan","Bacon","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3119","TRUE","","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"danield","Daniel","Durrer","contractors","Project Manager","1099 Contractor","TRUE","FALSE","B-3120","TRUE","vpn;wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"jamesw","James","Wittrell","staff","Accountant","Accounting","TRUE","TRUE","B-3121","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Accounting)"
"scottm","Scott","MacDonald","contractors","Strategy Consultant","1099 Contractor","TRUE","TRUE","B-3122","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"reneel","Renee","Lo","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3123","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"carid","Cari","Drummelle","staff","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3124","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"alfonsp","Alfons","Parovszky","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3125","FALSE","","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"matth","Matt","Hink","staff","Content Management Consultant","Content Management Consulting","TRUE","FALSE","B-3126","FALSE","","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"lorrain","Lorraine","Nay","staff","CRM Consultant","CRM Strategy","TRUE","FALSE","B-3127","FALSE","wiki","all-staff","Bulk","Bulk directory volume (CRM Strategy)"
"ibent","Iben","Thorell","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3128","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"magnush","Magnus","Hedlund","staff","Business Process Manager","Content Management Consulting","TRUE","TRUE","B-3129","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"erica","Erik","Andersen","staff","Content Management Consultant","Content Management Consulting","TRUE","TRUE","B-3130","FALSE","","all-staff","Bulk","Bulk directory volume (Content Management Consulting)"
"corinnb","Corinna","Bolender","staff","Engineer","Engineering Operations","TRUE","FALSE","B-3131","FALSE","wiki","all-staff;engineering","Bulk","Bulk directory volume (Engineering Operations)"
"treyp","Trey","Pratt","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3132","FALSE","vpn;wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"johnk","John","Kane","staff","Salesperson","Sales","TRUE","TRUE","B-3133","FALSE","","all-staff;sales","Bulk","Bulk directory volume (Sales)"
"parnak","Parna","Khot","partners","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3134","FALSE","","partners","Bulk","Bulk directory volume (Strategy Consulting)"
"kimr","Kim","Ralls","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3135","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"jank","Jan","Kotas","staff","Strategy Consultant","Strategy Consulting","TRUE","TRUE","B-3136","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"thomash","Thomas","Hamborg","contractors","Project Manager","1099 Contractor","TRUE","TRUE","B-3137","TRUE","wiki","contractors","Bulk","Bulk directory volume (1099 Contractor)"
"lolans","Lolan","Song","staff","Strategy Consultant","Strategy Consulting","TRUE","FALSE","B-3138","FALSE","","all-staff","Bulk","Bulk directory volume (Strategy Consulting)"
"larsh","Lars","Hansson","staff","Accounting Manager","Accounting","TRUE","TRUE","B-3139","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Accounting)"
"jillf","Jill","Frank","staff","Accountant","Accounting","TRUE","FALSE","B-3140","FALSE","wiki","all-staff","Bulk","Bulk directory volume (Accounting)"
