"Username","GivenName","Surname","DisplayName","Lifecycle","Class","Title","OrgUnit","Manager","Groups","EmployeeNumber","EmployeeType","LoginShell","HomeDirectory","Phone","Mobile","Street","City","State","PostalCode","PreferredLanguage","UserAuthType","PasswordState","PrincipalExpiresInDays","SshPublicKeys","CertMapData","RadiusProxy","RadiusUsername","IdentityProvider","IdpUserId","NoPrivateGroup","PrimaryGroup","Tier","Purpose"
"allisob","Allison","Brown","Allison Brown","Active","employee","Strategy Consultant","Strategy Consulting","aaronp","all-staff;allemployees;fulltimeemployees;strategyconsulting;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testserveroperators","EMP087","Full-time","/bin/bash","","(206) 555-5461","(206) 555-5462","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"amya","Amy","Alberts","Amy Alberts","Active","employee","HR Manager","Human Resources","garthf","all-staff;allemployees;fulltimeemployees;humanresources;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessmain","EMP031","Full-time","/bin/bash","","(206) 555-1346","(206) 555-1347","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Human Resources)"
"andersm","Anders","Madsen","Anders Madsen","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP097","Contractor","/bin/bash","","(206) 555-7593","(206) 555-7594","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"andread","Andrea","Dunker","Andrea Dunker","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP116","Contractor","/bin/bash","","(206) 555-1413","(206) 555-1414","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"andrewm","Andrew","Ma","Andrew Ma","Active","employee","Senior Project Manager","Project Management","alans","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessfinance","EMP027","Full-time","/bin/bash","","(206) 555-6345","(206) 555-6346","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"andyj","Andy","Jacobs","Andy Jacobs","Active","employee","Senior Project Manager","Project Management","scottb","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP179","Full-time","/bin/bash","","(206) 555-4262","(206) 555-4263","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"annal","Anna","Lidman","Anna Lidman","Active","employee","SVP of Online Services","Senior Management","christg","all-staff;allemployees;fulltimeemployees;seniormanagement;seattlemainoffice;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP018","Full-time","/bin/bash","","(425) 555-0172","(425) 555-0173","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Senior Management)"
"anneliz","Annelie","Zubar","Annelie Zubar","Active","employee","Salesperson","Sales","joses","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;salesmanagement;compliancereporting","EMP225","Full-time","/bin/bash","","2555-4845","","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"annew","Anne","Weiler","Anne Weiler","Active","employee","Strategy Consultant","Strategy Consulting","cesarg","all-staff;allemployees;fulltimeemployees;strategyconsulting;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP086","Full-time","/bin/bash","","(206) 555-6443","(206) 555-6444","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"anud","Anu","Deshpande","Anu Deshpande","Active","employee","Engineer","Creative","carolt","all-staff;allemployees;fulltimeemployees;marketing;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP068","Full-time","/bin/bash","","(206) 555-6699","(206) 555-6700","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Creative)"
"aprils","April","Stewart","April Stewart","Active","employee","Sales Manager","Sales","eduardd","all-staff;allemployees;fulltimeemployees;sales;chicagooffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessmain","EMP025","Full-time","/bin/bash","","(312) 555-5454","(312) 555-5455","234 Michigan Ave","Chicago","IL","60601","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"aris","Ari","Suominen","Ari Suominen","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessfinance","EMP067","Full-time","/bin/bash","","(206) 555-7231","(206) 555-7232","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"arleneh","Arlene","Huff","Arlene Huff","Active","employee","Strategy Consultant","Strategy Consulting","jennim","all-staff;allemployees;fulltimeemployees;strategyconsulting;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP238","Full-time","/bin/bash","","(206) 555-9538","(206) 555-9539","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"arthury","Arthur","Yasinski","Arthur Yasinski","Active","employee","Sales Manager","Sales Engagement Management","spencel","all-staff;allemployees;fulltimeemployees;sales;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP029","Full-time","/bin/bash","","(214) 555-3187","(214) 555-3188","890 Commerce St","Dallas","TX","75202","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales Engagement Management)"
"arturol","Arturo","Lopez","Arturo Lopez","Active","employee","IT Director","Operations","kellyw","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;compliancereporting","EMP024","Full-time","/bin/bash","","(206) 555-3186","(206) 555-3187","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"aylak","Ayla","Kol","Ayla Kol","Active","employee","Project Manager","Project Management","scottb","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP162","Full-time","/bin/bash","","(206) 555-3448","(206) 555-3449","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"barryj","Barry","Johnson","Barry Johnson","Active","employee","Project Manager","Project Management","alans","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP042","Full-time","/bin/bash","","(206) 555-8673","(206) 555-8674","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"bens","Ben","Spain","Ben Spain","Active","employee","Manager","Operations","adamb","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessmain","EMP044","Full-time","/bin/bash","","(206) 555-8216","(206) 555-8217","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"bernart","Bernard","Tham","Bernard Tham","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessfinance","EMP066","Full-time","/bin/bash","","(206) 555-3119","(206) 555-3120","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"bjorna","Björn","Åberg","Björn Åberg","Active","employee","IT Systems Administrator","Operations","arturol","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP289","Full-time","/bin/bash","","(206) 555-0313","(206) 555-0314","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"blained","Blaine","Dockter","Blaine Dockter","Active","employee","Strategy Consultant","Strategy Consulting","ellena","all-staff;allemployees;fulltimeemployees;strategyconsulting;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP085","Full-time","/bin/bash","","(206) 555-4484","(206) 555-4485","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"brads","Brad","Sutton","Brad Sutton","Active","employee","Strategy Consulting Manager","Strategy Consulting","christk","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP030","Full-time","/bin/bash","","(212) 555-9758","(212) 555-9759","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"brianc","Brian","Cox","Brian Cox","Active","employee","Procurement Manager","Operations","keithd","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP260","Full-time","/bin/bash","","(206) 555-4515","(206) 555-4516","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"briang","Brian","Groth","Brian Groth","Active","employee","Project Manager","Project Management","barryj","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP048","Full-time","/bin/bash","","(206) 555-9642","(206) 555-9643","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"carid","Cari","Drummelle","Cari Drummelle","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;newyorkoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessmain","EMP124","Full-time","/bin/bash","","(212) 555-3889","(212) 555-3890","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"carlosg","Carlos","Grilo","Carlos Grilo","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP117","Contractor","/bin/bash","","(206) 555-4536","(206) 555-4537","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"carolt","Carol","Troup","Carol Troup","Active","employee","Strategy Consulting Manager","Engineering Operations","davidz","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessfinance","EMP046","Full-time","/bin/bash","","(206) 555-7223","(206) 555-7224","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"cassieh","Cassie","Hicks","Cassie Hicks","Active","employee","Director of Client Services","Senior Management","adamb","all-staff;allemployees;fulltimeemployees;seniormanagement;seattlemainoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP183","Full-time","/bin/bash","","(425) 555-0129","(425) 555-0130","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Senior Management)"
"cesarg","Cesar","Garcia","Cesar Garcia","Active","employee","Strategy Consulting Manager","Strategy Consulting","christk","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP012","Full-time","/bin/bash","","(212) 555-4178","(212) 555-4179","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"chasec","Chase","Carpenter","Chase Carpenter","Active","employee","Accountant","Accounting","karimm","all-staff;allemployees;fulltimeemployees;accounting;seattlefinanceoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessengineering","EMP106","Full-time","/bin/bash","","(206) 555-9764","(206) 555-9765","789 Financial Center","Seattle","WA","98103","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Accounting)"
"cheny","Chen","Yang","Chen Yang","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP065","Full-time","/bin/bash","","(206) 555-6173","(206) 555-6174","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"chrisb","Chris","Barry","Chris Barry","Active","employee","Project Manager","Project Management","miken","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP161","Full-time","/bin/bash","","(206) 555-9267","(206) 555-9268","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"chrisg","Chris","Gray","Chris Gray","Active","employee","Senior Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;workstationusers;printeraccessmain","EMP234","Full-time","/bin/bash","","(206) 555-9244","(206) 555-9245","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"chrisj","Chris","Johnson","Chris Johnson","Active","employee","Marketing Specialist","Marketing","kellyk","all-staff;allemployees;fulltimeemployees;marketing;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP268","Full-time","/bin/bash","","(206) 555-9000","(206) 555-9001","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Marketing)"
"chrisjoh","Chris","Johnson","Chris M. Johnson","Active","employee","Accountant","Accounting","karimm","all-staff;allemployees;fulltimeemployees;accounting;seattlefinanceoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP270","Full-time","/bin/bash","","(206) 555-9002","(206) 555-9003","789 Financial Center","Seattle","WA","98103","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Accounting)"
"chrisjohn","Chris","Johnson","Chris F. Johnson","Active","employee","Senior Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP271","Full-time","/bin/bash","","(206) 555-9003","(206) 555-9004","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
