"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","MobilePhone","EmployeeType","City","State","PostalCode"
"Human Resources","CN=Garth Fort","True","Garth","garthf","CN=Karim Manar","Garth Fort","user","09636eb3-0cab-4051-9606-37c549330110","(206) 555-8258","garthf","S-1-5-21-331390976-2650875657-2422772959-1715","Fort","Fort","HR Manager","","Seattle - Main","EMP011","HR Manager in Human Resources department","123 Corporate Plaza","(206) 555-8259","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Cesar Garcia","True","Cesar","cesarg","CN=Christine Koch","Cesar Garcia","user","8ad45b6d-8c85-496a-a2d9-78422c4ee663","(212) 555-4178","cesarg","S-1-5-21-331390976-2650875657-2422772959-1716","Garcia","Garcia","Strategy Consulting Manager","","New York - Strategy","EMP012","Strategy Consulting Manager in Strategy Consulting department","456 Madison Ave","(212) 555-4179","Full-time","New York","NY","10022"
"Executive","CN=Christa Geller","True","Christa","christg","CN=Jeff Hay","Christa Geller","user","99612e2d-ea29-44ed-bc7e-bd17d5fd84a7","(425) 555-0177","christg","S-1-5-21-331390976-2650875657-2422772959-1717","Geller","Geller","CVP of Online","","Seattle - Main","EMP013","CVP of Online in Executive department","123 Corporate Plaza","(425) 555-0178","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Jack Creasey","True","Jack","jackc","CN=Dan Park","Jack Creasey","user","2a43d793-7367-4a3e-8c6e-5ec955a52038","(206) 555-4676","jackc","S-1-5-21-331390976-2650875657-2422772959-1718","Creasey","Creasey","Managing Director","","Seattle - Main","EMP014","Managing Director in Sales Engagement Management department","123 Corporate Plaza","(206) 555-4677","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=David Maman","True","David","davidm","CN=Christine Koch","David Maman","user","f88a171c-b337-4c26-9c4b-824bb74a0729","(212) 555-2867","davidm","S-1-5-21-331390976-2650875657-2422772959-1719","Maman","Maman","Strategy Consulting Manager","","New York - Strategy","EMP015","Strategy Consulting Manager in Strategy Consulting department","456 Madison Ave","(212) 555-2868","Full-time","New York","NY","10022"
"Sales","CN=Alan Brewer","True","Alan","alanb","CN=Jack Creasey","Alan Brewer","user","9476eed7-4e97-4378-b0be-0d8ca07906fd","(804) 555-2217","alanb","S-1-5-21-331390976-2650875657-2422772959-1720","Brewer","Brewer","Regional Sales Manager","","Richmond - East","EMP016","Regional Sales Manager in Sales department","456 Capitol St","(804) 555-2218","Full-time","Richmond","VA","23219"
"Sales Engagement Management","CN=David Simpson","True","David","davids","CN=Alan Brewer","David Simpson","user","4d339518-1c4e-46dd-8024-829f555b1562","(206) 555-1123","davids","S-1-5-21-331390976-2650875657-2422772959-1721","Simpson","Simpson","Sales Manager","","Seattle - Main","EMP017","Sales Manager in Sales Engagement Management department","123 Corporate Plaza","(206) 555-1124","Full-time","Seattle","WA","98101"
"Senior Management","CN=Anna Lidman","True","Anna","annal","CN=Christa Geller","Anna Lidman","user","d70e0bad-9aca-44c7-94cb-12bc7ca5f222","(425) 555-0172","annal","S-1-5-21-331390976-2650875657-2422772959-1722","Lidman","Lidman","SVP of Online Services","","Seattle - Main","EMP018","SVP of Online Services in Senior Management department","123 Corporate Plaza","(425) 555-0173","Full-time","Seattle","WA","98101"
"Sales","CN=Eduard Dell","True","Eduard","eduardd","CN=Jack Creasey","Eduard Dell","user","37b056d8-f63e-412b-b172-63d60d35ea56","(360) 555-4638","eduardd","S-1-5-21-331390976-2650875657-2422772959-1723","Dell","Dell","Regional Sales Manager","","Seattle - Satellite","EMP019","Regional Sales Manager in Sales department","101 Tech Park Way","(360) 555-4639","Full-time","Bellevue","WA","98004"
"Sales","CN=Spencer Low","True","Spencer","spencel","CN=Jack Creasey","Spencer Low","user","72bd066c-d0ac-4e94-af41-11bd70dd7d40","(253) 555-7934","spencel","S-1-5-21-331390976-2650875657-2422772959-1724","Low","Low","Regional Sales Manager","","Seattle - Satellite","EMP020","Regional Sales Manager in Sales department","101 Tech Park Way","(253) 555-7935","Full-time","Bellevue","WA","98004"
"Operations","CN=Kelly Weadock","True","Kelly","kellyw","CN=Adam Barr","Kelly Weadock","user","50c573a3-0619-4e1b-b433-401a333c7372","(206) 555-8936","kellyw","S-1-5-21-331390976-2650875657-2422772959-1725","Weadock","Weadock","CTO of Professional Services","","Seattle - Main","EMP021","CTO of Professional Services in Operations department","123 Corporate Plaza","(206) 555-8937","Full-time","Seattle","WA","98101"
"Senior Management","CN=Molly Clark","True","Molly","mollyc","CN=Anna Lidman","Molly Clark","user","e644bedd-9b3a-4fa5-be62-f027f2e97dd5","(425) 555-0192","mollyc","S-1-5-21-331390976-2650875657-2422772959-1726","Clark","Clark","GM of Online Ad Sales and Affiliate Marketing","","Seattle - Main","EMP022","GM of Online Ad Sales and Affiliate Marketing in Senior Management department","123 Corporate Plaza","(425) 555-0193","Full-time","Seattle","WA","98101"
"Sales","CN=Larry Zhang","True","Larry","larryz","CN=Jack Creasey","Larry Zhang","user","5f35988c-afb1-4107-9b1a-935f91f3bf71","(914) 555-7414","larryz","S-1-5-21-331390976-2650875657-2422772959-1727","Zhang","Zhang","Regional Sales Manager","","New York - Northeast","EMP023","Regional Sales Manager in Sales department","123 Wall Street","(914) 555-7415","Full-time","New York","NY","10005"
"Operations","CN=Arturo Lopez","True","Arturo","arturol","CN=Kelly Weadock","Arturo Lopez","user","a528dc1d-0042-484d-81cb-dc58c95d8147","(206) 555-3186","arturol","S-1-5-21-331390976-2650875657-2422772959-1728","Lopez","Lopez","IT Director","","Seattle - Main","EMP024","IT Director in Operations department","123 Corporate Plaza","(206) 555-3187","Full-time","Seattle","WA","98101"
"Sales","CN=April Stewart","True","April","aprils","CN=Eduard Dell","April Stewart","user","2bfaa552-d9a5-41e9-a6c3-5be62b4433c8","(312) 555-5454","aprils","S-1-5-21-331390976-2650875657-2422772959-1729","Stewart","Stewart","Sales Manager","","Chicago - Central","EMP025","Sales Manager in Sales department","234 Michigan Ave","(312) 555-5455","Full-time","Chicago","IL","60601"
"Strategy Consulting","CN=Aaron Painter","True","Aaron","aaronp","CN=Christine Koch","Aaron Painter","user","907dbfd3-298a-4388-8dd9-707760dd3092","(212) 555-8335","aaronp","S-1-5-21-331390976-2650875657-2422772959-1730","Painter","Painter","Strategy Consulting Manager","","New York - Strategy","EMP026","Strategy Consulting Manager in Strategy Consulting department","456 Madison Ave","(212) 555-8336","Full-time","New York","NY","10022"
"Project Management","CN=Andrew Ma","True","Andrew","andrewm","CN=Alan Steiner","Andrew Ma","user","d7777583-6b90-40eb-91a8-6f2bf2791f4e","(206) 555-6345","andrewm","S-1-5-21-331390976-2650875657-2422772959-1731","Ma","Ma","Senior Project Manager","","Seattle - Main","EMP027","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-6346","Full-time","Seattle","WA","98101"
"Marketing","CN=Diane Prescott","True","Diane","dianep","CN=Molly Clark","Diane Prescott","user","99fc0f94-9573-477f-8e02-ca842e069b8c","(425) 555-0164","dianep","S-1-5-21-331390976-2650875657-2422772959-1732","Prescott","Prescott","Director of Ad Sales","","Seattle - Main","EMP028","Director of Ad Sales in Marketing department","123 Corporate Plaza","(425) 555-0165","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Arthur Yasinski","True","Arthur","arthury","CN=Spencer Low","Arthur Yasinski","user","6a11df26-6b53-4baf-b3c8-25add379d21f","(214) 555-3187","arthury","S-1-5-21-331390976-2650875657-2422772959-1733","Yasinski","Yasinski","Sales Manager","","Dallas - South","EMP029","Sales Manager in Sales Engagement Management department","890 Commerce St","(214) 555-3188","Full-time","Dallas","TX","75202"
"Strategy Consulting","CN=Brad Sutton","True","Brad","brads","CN=Christine Koch","Brad Sutton","user","22b24470-babd-435b-9349-23c1bcadd849","(212) 555-9758","brads","S-1-5-21-331390976-2650875657-2422772959-1734","Sutton","Sutton","Strategy Consulting Manager","","New York - Strategy","EMP030","Strategy Consulting Manager in Strategy Consulting department","456 Madison Ave","(212) 555-9759","Full-time","New York","NY","10022"
"Human Resources","CN=Amy Alberts","True","Amy","amya","CN=Garth Fort","Amy Alberts","user","d24e5009-dcf1-4d20-9aa3-874a83283cf0","(206) 555-1346","amya","S-1-5-21-331390976-2650875657-2422772959-1735","Alberts","Alberts","HR Manager","","Seattle - Main","EMP031","HR Manager in Human Resources department","123 Corporate Plaza","(206) 555-1347","Full-time","Seattle","WA","98101"
"Sales","CN=Steve Luper","True","Steve","stevel","CN=Jack Creasey","Steve Luper","user","1f666335-b35b-4db6-ad36-a8c93358c611","(619) 555-7772","stevel","S-1-5-21-331390976-2650875657-2422772959-1736","Luper","Luper","Regional Sales Manager","","Seattle - Main","EMP032","Regional Sales Manager in Sales department","123 Corporate Plaza","(619) 555-7773","Full-time","Seattle","WA","98101"
"Senior Management","CN=Julian Isla","True","Julian","juliani","CN=Molly Clark","Julian Isla","user","81066423-effe-4a10-aa35-4aa10ae0510c","(425) 555-0184","juliani","S-1-5-21-331390976-2650875657-2422772959-1737","Isla","Isla","Sr. Business Development Manager","","Seattle - Main","EMP033","Sr. Business Development Manager in Senior Management department","123 Corporate Plaza","(425) 555-0185","Full-time","Seattle","WA","98101"
"Project Management","CN=Scott Bishop","True","Scott","scottb","CN=Alan Steiner","Scott Bishop","user","1eb018bb-7347-46fd-8d83-35ad5aaa731e","(206) 555-9977","scottb","S-1-5-21-331390976-2650875657-2422772959-1738","Bishop","Bishop","Senior Project Manager","","Seattle - Main","EMP034","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-9978","Full-time","Seattle","WA","98101"
"Marketing","CN=Kelly Krout","True","Kelly","kellyk","CN=Adam Barr","Kelly Krout","user","7139b430-f5e4-4dc2-8b1f-1921b54f42a5","(206) 555-6511","kellyk","S-1-5-21-331390976-2650875657-2422772959-1739","Krout","Krout","Marketing Manager","","Seattle - Main","EMP035","Marketing Manager in Marketing department","123 Corporate Plaza","(206) 555-6512","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Stan Orme","True","Stan","stano","CN=Alan Steiner","Stan Orme","user","e89f603c-3707-49a1-92ad-dc6a231b32f8","(206) 555-6169","stano","S-1-5-21-331390976-2650875657-2422772959-1740","Orme","Orme","Content Management Consulting Manager","","Seattle - Main","EMP036","Content Management Consulting Manager in Content Management Consulting department","123 Corporate Plaza","(206) 555-6170","Full-time","Seattle","WA","98101"
"Project Management","CN=Mike Nash","True","Mike","miken","CN=Alan Steiner","Mike Nash","user","acacc661-f71d-490a-9cb8-0b7bdfe7c669","(206) 555-8148","miken","S-1-5-21-331390976-2650875657-2422772959-1741","Nash","Nash","Senior Project Manager","","Seattle - Main","EMP037","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-8149","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Jenni Merrifield","True","Jenni","jennim","CN=David Maman","Jenni Merrifield","user","6884a642-9966-442a-ac80-6dfed9442a5b","(206) 555-3965","jennim","S-1-5-21-331390976-2650875657-2422772959-1742","Merrifield","Merrifield","Strategy Consultant","","Seattle - Main","EMP038","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-3966","Full-time","Seattle","WA","98101"
"Operations","CN=Keith Dishmo","True","Keith","keithd","CN=Adam Barr","Keith Dishmo","user","b1bb9fc3-dcb0-4328-8d91-6d88ee78bc2d","(206) 555-7436","keithd","S-1-5-21-331390976-2650875657-2422772959-1743","Dishmo","Dishmo","Procurement Manager","","Seattle - Main","EMP039","Procurement Manager in Operations department","123 Corporate Plaza","(206) 555-7437","Full-time","Seattle","WA","98101"
"Sales","CN=Jose Saraiva","True","Jose","joses","CN=Larry Zhang","Jose Saraiva","user","7e28daa4-228f-46fc-b8f1-f35d7e4ed03e","(206) 555-9337","joses","S-1-5-21-331390976-2650875657-2422772959-1744","Saraiva","Saraiva","Sales Manager","","Seattle - Main","EMP040","Sales Manager in Sales department","123 Corporate Plaza","(206) 555-9338","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Lene Aalling","True","Lene","lenea","CN=Steve Luper","Lene Aalling","user","309409a4-150e-44e3-93c5-f08458b243ee","(701) 555-3621","lenea","S-1-5-21-331390976-2650875657-2422772959-1745","Aalling","Aalling","Sales Manager","","Remote - Field Sales","EMP041","Sales Manager in Sales Engagement Management department","Remote Location","(701) 555-3622","Full-time","","",""
"Project Management","CN=Barry Johnson","True","Barry","barryj","CN=Alan Steiner","Barry Johnson","user","23072c6f-3814-4be2-b4f1-ea74a3df4e40","(206) 555-8673","barryj","S-1-5-21-331390976-2650875657-2422772959-1746","Johnson","Johnson","Project Manager","","Seattle - Main","EMP042","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-8674","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Ellen Adams","True","Ellen","ellena","CN=Christine Koch","Ellen Adams","user","d856c97a-a02f-4b78-b966-1ea9cb9f28e7","(212) 555-1397","ellena","S-1-5-21-331390976-2650875657-2422772959-1747","Adams","Adams","Strategy Consulting Manager","","New York - Strategy","EMP043","Strategy Consulting Manager in Strategy Consulting department","456 Madison Ave","(212) 555-1398","Full-time","New York","NY","10022"
"Operations","CN=Ben Spain","True","Ben","bens","CN=Adam Barr","Ben Spain","user","c9b92bc2-af45-453d-a6cf-00ce57cbdc3d","(206) 555-8216","bens","S-1-5-21-331390976-2650875657-2422772959-1748","Spain","Spain","Manager","","Seattle - Main","EMP044","Manager in Operations department","123 Corporate Plaza","(206) 555-8217","Full-time","Seattle","WA","98101"
"Engineering Operations","CN=David Zazzo","True","David","davidz","CN=Adam Barr","David Zazzo","user","8b066919-9f6c-4e45-8afe-7be6ab97853c","(206) 555-4122","davidz","S-1-5-21-331390976-2650875657-2422772959-1749","Zazzo","Zazzo","Managing Director","","Seattle - Engineering","EMP045","Managing Director in Engineering Operations department","456 Innovation Drive","(206) 555-4123","Full-time","Seattle","WA","98102"
"Engineering Operations","CN=Carol Troup","True","Carol","carolt","CN=David Zazzo","Carol Troup","user","33d6a6a2-3615-4f0c-aa26-c15016432a24","(206) 555-7223","carolt","S-1-5-21-331390976-2650875657-2422772959-1750","Troup","Troup","Strategy Consulting Manager","","Seattle - Engineering","EMP046","Strategy Consulting Manager in Engineering Operations department","456 Innovation Drive","(206) 555-7224","Full-time","Seattle","WA","98102"
"Operations","CN=Erika Cheley","True","Erika","erikac","CN=Ben Spain","Erika Cheley","user","a29140f9-13c6-4849-9890-0687072dece8","(206) 555-1242","erikac","S-1-5-21-331390976-2650875657-2422772959-1751","Cheley","Cheley","Manager","","Seattle - Main","EMP047","Manager in Operations department","123 Corporate Plaza","(206) 555-1243","Full-time","Seattle","WA","98101"
"Project Management","CN=Brian Groth","True","Brian","briang","CN=Barry Johnson","Brian Groth","user","49576048-c1ae-4c61-b876-2608434f81ed","(206) 555-9642","briang","S-1-5-21-331390976-2650875657-2422772959-1752","Groth","Groth","Project Manager","","Seattle - Main","EMP048","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-9643","Full-time","Seattle","WA","98101"
"CRM Strategy","CN=Syed Abbas","True","Syed","syeda","CN=Aaron Painter","Syed Abbas","user","2cfdb538-a03d-44b1-a0f2-b7ef32b713a7","(20) 5555-4595","syeda","S-1-5-21-331390976-2650875657-2422772959-1753","Abbas","Abbas","CRM Consulting Manager","","London - International","EMP049","CRM Consulting Manager in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Peder Thode","True","Peder","pedert","CN=Stan Orme","Peder Thode","user","45a85a2d-37c8-47e6-9a5a-6f6bc2c7421e","(20) 5555-7862","pedert","S-1-5-21-331390976-2650875657-2422772959-1754","Thode","Thode","Content Management Consultant","","London - International","EMP050","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Mary Cha","True","Mary","maryc","CN=Stan Orme","Mary Cha","user","87d72a92-cf0c-40f5-b5a2-075d0fc9da0b","(20) 5555-4594","maryc","S-1-5-21-331390976-2650875657-2422772959-1755","Cha","Cha","Content Management Consultant","","London - International","EMP051","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Lisa Andrews","True","Lisa","lisaa","CN=Stan Orme","Lisa Andrews","user","5b517785-ce63-4d9e-9564-75f60db5baa4","(20) 5555-7545","lisaa","S-1-5-21-331390976-2650875657-2422772959-1756","Andrews","Andrews","Content Management Consultant","","London - International","EMP052","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Jim Lucey","True","Jim","jiml","CN=Stan Orme","Jim Lucey","user","49b7abb0-7c7e-4052-907c-16f5825683eb","(20) 5555-1626","jiml","S-1-5-21-331390976-2650875657-2422772959-1757","Lucey","Lucey","Content Management Consultant","","London - International","EMP053","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Gareth Chan","True","Gareth","garethc","CN=Stan Orme","Gareth Chan","user","6cfde6df-e2d3-4958-8697-ef78729cbe51","(20) 5555-5894","garethc","S-1-5-21-331390976-2650875657-2422772959-1758","Chan","Chan","Content Management Consultant","","London - International","EMP054","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"CRM Strategy","CN=Karin Lamb","True","Karin","karinl","CN=Syed Abbas","Karin Lamb","user","011a88bc-7df9-4d92-ba1f-2ff319e101e1","(20) 5555-9834","karinl","S-1-5-21-331390976-2650875657-2422772959-1759","Lamb","Lamb","CRM Consultant","","London - International","EMP055","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=David Hamilton","True","David","davidh","CN=Stan Orme","David Hamilton","user","d37da227-e452-489e-bf60-b8d87a4c32c0","(20) 5555-7963","davidh","S-1-5-21-331390976-2650875657-2422772959-1760","Hamilton","Hamilton","CRM Consultant","","London - International","EMP056","CRM Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"CRM Strategy","CN=Merav Sror","True","Merav","meravs","CN=Syed Abbas","Merav Sror","user","19810018-8a60-4216-8597-80262e5712d0","(20) 5555-2697","meravs","S-1-5-21-331390976-2650875657-2422772959-1761","Sror","Sror","CRM Consultant","","London - International","EMP057","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Reina Cabatana","True","Reina","reinac","CN=Stan Orme","Reina Cabatana","user","cedb0e6a-9974-4293-8286-7dc8f5985e8a","(20) 5555-3658","reinac","S-1-5-21-331390976-2650875657-2422772959-1762","Cabatana","Cabatana","Content Management Consultant","","London - International","EMP058","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Robin Young","True","Robin","robiny","CN=Stan Orme","Robin Young","user","a7123b9f-1060-4213-b5bb-f971303cf182","(212) 555-4428","robiny","S-1-5-21-331390976-2650875657-2422772959-1763","Young","Young","Content Management Consultant","","New York - Strategy","EMP059","Content Management Consultant in Content Management Consulting department","456 Madison Ave","(212) 555-4429","Full-time","New York","NY","10022"
"Content Management Consulting","CN=Peter Saddow","True","Peter","peters","CN=Stan Orme","Peter Saddow","user","7c2df1cf-6aef-4b5a-8666-e8fbe1f97663","(212) 555-9437","peters","S-1-5-21-331390976-2650875657-2422772959-1764","Saddow","Saddow","Content Management Consultant","","New York - Strategy","EMP060","Content Management Consultant in Content Management Consulting department","456 Madison Ave","(212) 555-9438","Full-time","New York","NY","10022"
"Content Management Consulting","CN=Vladimir Egorov","True","Vladimir","vladime","CN=Stan Orme","Vladimir Egorov","user","c664caf1-1023-4a0d-a90d-ec891eb89e61","(212) 555-9441","vladime","S-1-5-21-331390976-2650875657-2422772959-1765","Egorov","Egorov","Content Management Consultant","","New York - Strategy","EMP061","Content Management Consultant in Content Management Consulting department","456 Madison Ave","(212) 555-9442","Full-time","New York","NY","10022"
"Content Management Consulting","CN=Esther Valle","True","Esther","estherv","CN=Stan Orme","Esther Valle","user","b5dfbef4-8ca8-49f5-a2de-4af33b175552","(20) 5555-8548","estherv","S-1-5-21-331390976-2650875657-2422772959-1766","Valle","Valle","Content Management Consultant","","London - International","EMP062","Content Management Consultant in Content Management Consulting department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Strategy Consulting","CN=Lori Kane","True","Lori","lorik","CN=Brad Sutton","Lori Kane","user","f5a2b7f2-35c5-471e-a8c7-4569ad2861f5","(206) 555-5292","lorik","S-1-5-21-331390976-2650875657-2422772959-1767","Kane","Kane","Strategy Consultant","","Seattle - Main","EMP063","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5293","Full-time","Seattle","WA","98101"
"Engineering Operations","CN=Cliff Diddier","True","Cliff","cliffd","CN=Carol Troup","Cliff Diddier","user","8e18794b-7b4d-4375-b3cd-bcf6199926da","(206) 555-3748","cliffd","S-1-5-21-331390976-2650875657-2422772959-1768","Diddier","Diddier","Engineer","","Seattle - Engineering","EMP064","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-3749","Full-time","Seattle","WA","98102"
"Engineering Operations","CN=Chen Yang","True","Chen","cheny","CN=Carol Troup","Chen Yang","user","7e60ff5a-c38b-4815-8f00-61b269a8f083","(206) 555-6173","cheny","S-1-5-21-331390976-2650875657-2422772959-1769","Yang","Yang","Engineer","","Seattle - Engineering","EMP065","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-6174","Full-time","Seattle","WA","98102"
"Engineering Operations","CN=Bernard Tham","True","Bernard","bernart","CN=Carol Troup","Bernard Tham","user","51ae8f34-698e-4651-a429-2cb825cbe449","(206) 555-3119","bernart","S-1-5-21-331390976-2650875657-2422772959-1770","Tham","Tham","Engineer","","Seattle - Engineering","EMP066","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-3120","Full-time","Seattle","WA","98102"
"Engineering Operations","CN=Ari Suominen","True","Ari","aris","CN=Carol Troup","Ari Suominen","user","74de80f2-9eab-4c4c-8df5-af0dc32f16ca","(206) 555-7231","aris","S-1-5-21-331390976-2650875657-2422772959-1771","Suominen","Suominen","Engineer","","Seattle - Engineering","EMP067","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-7232","Full-time","Seattle","WA","98102"
"Creative","CN=Anu Deshpande","True","Anu","anud","CN=Carol Troup","Anu Deshpande","user","eaea736d-6e68-4047-bb22-ca7f8a793ccb","(206) 555-6699","anud","S-1-5-21-331390976-2650875657-2422772959-1772","Deshpande","Deshpande","Engineer","","Seattle - Main","EMP068","Engineer in Creative department","123 Corporate Plaza","(206) 555-6700","Full-time","Seattle","WA","98101"
"Engineering Operations","CN=Allan Guinot","True","Allan","allang","CN=Carol Troup","Allan Guinot","user","5914122f-d433-4094-9a83-7fcbdcecaec6","(206) 555-6127","allang","S-1-5-21-331390976-2650875657-2422772959-1773","Guinot","Guinot","Engineer","","Seattle - Engineering","EMP069","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-6128","Full-time","Seattle","WA","98102"
"CRM Strategy","CN=Toby Nixon","True","Toby","tobyn","CN=Syed Abbas","Toby Nixon","user","9149465d-e566-4c1a-801d-8d01c3c00dea","(20) 5555-4379","tobyn","S-1-5-21-331390976-2650875657-2422772959-1774","Nixon","Nixon","CRM Consultant","","London - International","EMP070","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
