"DeviceName","DeviceType","AssignedUser","Office","Description","OperatingSystem","SerialNumber","AssetTag","IPAddress","MACAddress","LastLogon","Enabled","Department","Manufacturer","Model"
"NYC-PRINT-001","Printer","","New York - Strategy","New York office main printer","","PR-SN-007-2024","PRT-007","10.214.26.12","00:11:22:33:DD:07","","True","Strategy Consulting","HP","LaserJet Enterprise M507dn"
"MOBILE-001","Mobile Device","Dan Jump","Seattle - Main","iPhone for CEO Dan Jump","iOS 17","IMEI-001-2024","MOB-001","10.214.10.25","","2025-08-02 07:45:00","True","Executive","Apple","iPhone 15 Pro Max"
"MOBILE-002","Mobile Device","Adam Barr","Seattle - Main","iPhone for GM Adam Barr","iOS 17","IMEI-002-2024","MOB-002","10.214.10.26","","2025-08-02 08:10:00","True","Operations","Apple","iPhone 15 Pro"
"MOBILE-003","Mobile Device","Alan Steiner","Seattle - Main","iPhone for Director Alan Steiner","iOS 17","IMEI-003-2024","MOB-003","10.214.10.27","","2025-08-02 08:25:00","True","Project Management","Apple","iPhone 15"
"MOBILE-004","Mobile Device","Chris Norred","Seattle - Main","iPhone for PM Chris Norred","iOS 17","IMEI-004-2024","MOB-004","10.214.10.28","","2025-08-02 08:40:00","True","Project Management","Apple","iPhone 15"
"MOBILE-005","Mobile Device","Diane Tibbot","Seattle - Main","iPhone for CFO Diane Tibbot","iOS 17","IMEI-005-2024","MOB-005","10.214.10.29","","2025-08-02 08:55:00","True","Operations","Apple","iPhone 15 Pro"
"TABLET-001","Mobile Device","Christine Koch","Seattle - Engineering","iPad for Engineering Director Christine Koch","iPadOS 17","IMEI-TAB-001-2024","TAB-001","10.214.14.12","","2025-08-02 07:20:00","True","Engineering","Apple","iPad Pro 12.9-inch"
"TABLET-002","Mobile Device","Frank Martinez","Seattle - Main","iPad for COO Frank Martinez","iPadOS 17","IMEI-TAB-002-2024","TAB-002","10.214.10.30","","2025-08-02 07:55:00","True","Executive","Apple","iPad Pro 11-inch"
"LAPTOP-001","Workstation","Dan Jump","Seattle - Main","Executive laptop for CEO Dan Jump","Windows 11 Enterprise","SN-LAP-001-2024","LAP-001","10.214.10.31","00:11:22:33:EE:01","2025-08-02 18:30:00","True","Executive","Dell","Latitude 9330"
"LAPTOP-002","Workstation","Adam Barr","Seattle - Main","Executive laptop for GM Adam Barr","Windows 11 Enterprise","SN-LAP-002-2024","LAP-002","10.214.10.32","00:11:22:33:EE:02","2025-08-02 18:45:00","True","Operations","Dell","Latitude 9330"
"LAPTOP-003","Workstation","Christine Koch","Seattle - Engineering","Engineering laptop for MD Christine Koch","Windows 11 Pro for Workstations","SN-LAP-003-2024","LAP-003","10.214.14.13","00:11:22:33:EE:03","2025-08-02 19:00:00","True","Engineering","Dell","Precision 5570"
"SEA-HUMANR-050","Workstation","Garth Fort","Seattle - Main","Workstation for HR Manager Garth Fort","Windows 11 Pro","SN050-WS-2024","AT-050","10.214.10.33","00:11:22:33:44:32","2025-08-01 16:46:15","True","Human Resources","Dell","OptiPlex 5090"
"MOBILE-020","Mobile Device","Garth Fort","Seattle - Main","Mobile device for Garth Fort","iOS 17","IMEI-020-2024","MOB-020","10.214.10.34","","2025-08-02 14:46:15","True","Human Resources","Apple","iPhone 15"
"LAPTOP-050","Workstation","Garth Fort","Seattle - Main","Executive laptop for Garth Fort","Windows 11 Pro","SN-LAP-050-2024","LAP-050","10.214.10.35","00:11:22:33:EE:32","2025-08-02 11:46:15","True","Human Resources","Dell","Latitude 9330"
"NYC-STRATE-051","Workstation","Cesar Garcia","New York - Strategy","Workstation for Strategy Consulting Manager Cesar Garcia","Windows 11 Pro","SN051-WS-2024","AT-051","10.214.26.13","00:11:22:33:44:33","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-021","Mobile Device","Cesar Garcia","New York - Strategy","Mobile device for Cesar Garcia","iOS 17","IMEI-021-2024","MOB-021","10.214.26.14","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LAPTOP-051","Workstation","Cesar Garcia","New York - Strategy","Executive laptop for Cesar Garcia","Windows 11 Pro","SN-LAP-051-2024","LAP-051","10.214.26.15","00:11:22:33:EE:33","2025-08-02 11:46:15","True","Strategy Consulting","Dell","Latitude 9330"
"SEA-EXECUT-052","Workstation","Christa Geller","Seattle - Main","Workstation for CVP of Online Christa Geller","Windows 11 Enterprise","SN052-WS-2024","AT-052","10.214.10.36","00:11:22:33:44:34","2025-08-01 16:46:15","True","Executive","Dell","OptiPlex 7090"
"MOBILE-022","Mobile Device","Christa Geller","Seattle - Main","Mobile device for Christa Geller","iOS 17","IMEI-022-2024","MOB-022","10.214.10.37","","2025-08-02 14:46:15","True","Executive","Apple","iPhone 15 Pro Max"
"LAPTOP-052","Workstation","Christa Geller","Seattle - Main","Executive laptop for Christa Geller","Windows 11 Enterprise","SN-LAP-052-2024","LAP-052","10.214.10.38","00:11:22:33:EE:34","2025-08-02 11:46:15","True","Executive","Dell","Latitude 9330"
"SEA-SALESE-053","Workstation","Jack Creasey","Seattle - Main","Workstation for Managing Director Jack Creasey","Windows 11 Pro","SN053-WS-2024","AT-053","10.214.10.39","00:11:22:33:44:35","2025-08-01 16:46:15","True","Sales Engagement Management","Dell","OptiPlex 3090"
"MOBILE-023","Mobile Device","Jack Creasey","Seattle - Main","Mobile device for Jack Creasey","iOS 17","IMEI-023-2024","MOB-023","10.214.10.40","","2025-08-02 14:46:15","True","Sales Engagement Management","Apple","iPhone 15"
"LAPTOP-053","Workstation","Jack Creasey","Seattle - Main","Executive laptop for Jack Creasey","Windows 11 Pro","SN-LAP-053-2024","LAP-053","10.214.10.41","00:11:22:33:EE:35","2025-08-02 11:46:15","True","Sales Engagement Management","Dell","Latitude 9330"
"NYC-STRATE-054","Workstation","David Maman","New York - Strategy","Workstation for Strategy Consulting Manager David Maman","Windows 11 Pro","SN054-WS-2024","AT-054","10.214.26.16","00:11:22:33:44:36","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-024","Mobile Device","David Maman","New York - Strategy","Mobile device for David Maman","iOS 17","IMEI-024-2024","MOB-024","10.214.26.17","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LAPTOP-054","Workstation","David Maman","New York - Strategy","Executive laptop for David Maman","Windows 11 Pro","SN-LAP-054-2024","LAP-054","10.214.26.18","00:11:22:33:EE:36","2025-08-02 11:46:15","True","Strategy Consulting","Dell","Latitude 9330"
"RIC-SALES-055","Workstation","Alan Brewer","Richmond - East","Workstation for Regional Sales Manager Alan Brewer","Windows 11 Pro","SN055-WS-2024","AT-055","10.214.30.10","00:11:22:33:44:37","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-025","Mobile Device","Alan Brewer","Richmond - East","Mobile device for Alan Brewer","iOS 17","IMEI-025-2024","MOB-025","10.214.30.11","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-055","Workstation","Alan Brewer","Richmond - East","Executive laptop for Alan Brewer","Windows 11 Pro","SN-LAP-055-2024","LAP-055","10.214.30.12","00:11:22:33:EE:37","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"SEA-SALESE-056","Workstation","David Simpson","Seattle - Main","Workstation for Sales Manager David Simpson","Windows 11 Pro","SN056-WS-2024","AT-056","10.214.10.42","00:11:22:33:44:38","2025-08-01 16:46:15","True","Sales Engagement Management","Dell","OptiPlex 3090"
"MOBILE-026","Mobile Device","David Simpson","Seattle - Main","Mobile device for David Simpson","iOS 17","IMEI-026-2024","MOB-026","10.214.10.43","","2025-08-02 14:46:15","True","Sales Engagement Management","Apple","iPhone 15"
"LAPTOP-056","Workstation","David Simpson","Seattle - Main","Executive laptop for David Simpson","Windows 11 Pro","SN-LAP-056-2024","LAP-056","10.214.10.44","00:11:22:33:EE:38","2025-08-02 11:46:15","True","Sales Engagement Management","Dell","Latitude 9330"
"SEA-SENIOR-057","Workstation","Anna Lidman","Seattle - Main","Workstation for SVP of Online Services Anna Lidman","Windows 11 Enterprise","SN057-WS-2024","AT-057","10.214.10.45","00:11:22:33:44:39","2025-08-01 16:46:15","True","Senior Management","Dell","OptiPlex 7090"
"MOBILE-027","Mobile Device","Anna Lidman","Seattle - Main","Mobile device for Anna Lidman","iOS 17","IMEI-027-2024","MOB-027","10.214.10.46","","2025-08-02 14:46:15","True","Senior Management","Apple","iPhone 15 Pro"
"LAPTOP-057","Workstation","Anna Lidman","Seattle - Main","Executive laptop for Anna Lidman","Windows 11 Enterprise","SN-LAP-057-2024","LAP-057","10.214.10.47","00:11:22:33:EE:39","2025-08-02 11:46:15","True","Senior Management","Dell","Latitude 9330"
"BEL-SALES-058","Workstation","Eduard Dell","Seattle - Satellite","Workstation for Regional Sales Manager Eduard Dell","Windows 11 Pro","SN058-WS-2024","AT-058","10.214.34.10","00:11:22:33:44:3A","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-028","Mobile Device","Eduard Dell","Seattle - Satellite","Mobile device for Eduard Dell","iOS 17","IMEI-028-2024","MOB-028","10.214.34.11","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-058","Workstation","Eduard Dell","Seattle - Satellite","Executive laptop for Eduard Dell","Windows 11 Pro","SN-LAP-058-2024","LAP-058","10.214.34.12","00:11:22:33:EE:3A","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"BEL-SALES-059","Workstation","Spencer Low","Seattle - Satellite","Workstation for Regional Sales Manager Spencer Low","Windows 11 Pro","SN059-WS-2024","AT-059","10.214.34.13","00:11:22:33:44:3B","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-029","Mobile Device","Spencer Low","Seattle - Satellite","Mobile device for Spencer Low","iOS 17","IMEI-029-2024","MOB-029","10.214.34.14","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-059","Workstation","Spencer Low","Seattle - Satellite","Executive laptop for Spencer Low","Windows 11 Pro","SN-LAP-059-2024","LAP-059","10.214.34.15","00:11:22:33:EE:3B","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"SEA-OPERAT-060","Workstation","Kelly Weadock","Seattle - Main","Workstation for CTO of Professional Services Kelly Weadock","Windows 11 Enterprise","SN060-WS-2024","AT-060","10.214.10.48","00:11:22:33:44:3C","2025-08-01 16:46:15","True","Operations","Dell","OptiPlex 7090"
"MOBILE-030","Mobile Device","Kelly Weadock","Seattle - Main","Mobile device for Kelly Weadock","iOS 17","IMEI-030-2024","MOB-030","10.214.10.49","","2025-08-02 14:46:15","True","Operations","Apple","iPhone 15 Pro"
"SEA-SENIOR-061","Workstation","Molly Clark","Seattle - Main","Workstation for GM of Online Ad Sales and Affiliate Marketing Molly Clark","Windows 11 Enterprise","SN061-WS-2024","AT-061","10.214.10.50","00:11:22:33:44:3D","2025-08-01 16:46:15","True","Senior Management","Dell","OptiPlex 7090"
"MOBILE-031","Mobile Device","Molly Clark","Seattle - Main","Mobile device for Molly Clark","iOS 17","IMEI-031-2024","MOB-031","10.214.10.51","","2025-08-02 14:46:15","True","Senior Management","Apple","iPhone 15 Pro"
"LAPTOP-061","Workstation","Molly Clark","Seattle - Main","Executive laptop for Molly Clark","Windows 11 Enterprise","SN-LAP-061-2024","LAP-061","10.214.10.52","00:11:22:33:EE:3D","2025-08-02 11:46:15","True","Senior Management","Dell","Latitude 9330"
"NYC-SALES-062","Workstation","Larry Zhang","New York - Northeast","Workstation for Regional Sales Manager Larry Zhang","Windows 11 Pro","SN062-WS-2024","AT-062","10.214.38.10","00:11:22:33:44:3E","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-032","Mobile Device","Larry Zhang","New York - Northeast","Mobile device for Larry Zhang","iOS 17","IMEI-032-2024","MOB-032","10.214.38.11","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-062","Workstation","Larry Zhang","New York - Northeast","Executive laptop for Larry Zhang","Windows 11 Pro","SN-LAP-062-2024","LAP-062","10.214.38.12","00:11:22:33:EE:3E","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"SEA-OPERAT-063","Workstation","Arturo Lopez","Seattle - Main","Workstation for IT Director Arturo Lopez","Windows 11 Enterprise","SN063-WS-2024","AT-063","10.214.10.53","00:11:22:33:44:3F","2025-08-01 16:46:15","True","Operations","Dell","OptiPlex 7090"
"MOBILE-033","Mobile Device","Arturo Lopez","Seattle - Main","Mobile device for Arturo Lopez","iOS 17","IMEI-033-2024","MOB-033","10.214.10.54","","2025-08-02 14:46:15","True","Operations","Apple","iPhone 15 Pro"
"LAPTOP-063","Workstation","Arturo Lopez","Seattle - Main","Executive laptop for Arturo Lopez","Windows 11 Enterprise","SN-LAP-063-2024","LAP-063","10.214.10.55","00:11:22:33:EE:3F","2025-08-02 11:46:15","True","Operations","Dell","Latitude 9330"
"CHI-SALES-064","Workstation","April Stewart","Chicago - Central","Workstation for Sales Manager April Stewart","Windows 11 Pro","SN064-WS-2024","AT-064","10.214.42.10","00:11:22:33:44:40","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-034","Mobile Device","April Stewart","Chicago - Central","Mobile device for April Stewart","iOS 17","IMEI-034-2024","MOB-034","10.214.42.11","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-064","Workstation","April Stewart","Chicago - Central","Executive laptop for April Stewart","Windows 11 Pro","SN-LAP-064-2024","LAP-064","10.214.42.12","00:11:22:33:EE:40","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"NYC-STRATE-065","Workstation","Aaron Painter","New York - Strategy","Workstation for Strategy Consulting Manager Aaron Painter","Windows 11 Pro","SN065-WS-2024","AT-065","10.214.26.19","00:11:22:33:44:41","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-035","Mobile Device","Aaron Painter","New York - Strategy","Mobile device for Aaron Painter","iOS 17","IMEI-035-2024","MOB-035","10.214.26.20","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LAPTOP-065","Workstation","Aaron Painter","New York - Strategy","Executive laptop for Aaron Painter","Windows 11 Pro","SN-LAP-065-2024","LAP-065","10.214.26.21","00:11:22:33:EE:41","2025-08-02 11:46:15","True","Strategy Consulting","Dell","Latitude 9330"
"SEA-PROJEC-066","Workstation","Andrew Ma","Seattle - Main","Workstation for Senior Project Manager Andrew Ma","Windows 11 Pro","SN066-WS-2024","AT-066","10.214.10.56","00:11:22:33:44:42","2025-08-01 16:46:15","True","Project Management","Dell","OptiPlex 5090"
"MOBILE-036","Mobile Device","Andrew Ma","Seattle - Main","Mobile device for Andrew Ma","iOS 17","IMEI-036-2024","MOB-036","10.214.10.57","","2025-08-02 14:46:15","True","Project Management","Apple","iPhone 15"
"LAPTOP-066","Workstation","Andrew Ma","Seattle - Main","Executive laptop for Andrew Ma","Windows 11 Pro","SN-LAP-066-2024","LAP-066","10.214.10.58","00:11:22:33:EE:42","2025-08-02 11:46:15","True","Project Management","Dell","Latitude 9330"
"SEA-MARKET-067","Workstation","Diane Prescott","Seattle - Main","Workstation for Director of Ad Sales Diane Prescott","Windows 11 Pro","SN067-WS-2024","AT-067","10.214.10.59","00:11:22:33:44:43","2025-08-01 16:46:15","True","Marketing","Dell","OptiPlex 5090"
"MOBILE-037","Mobile Device","Diane Prescott","Seattle - Main","Mobile device for Diane Prescott","iOS 17","IMEI-037-2024","MOB-037","10.214.10.60","","2025-08-02 14:46:15","True","Marketing","Apple","iPhone 15"
"LAPTOP-067","Workstation","Diane Prescott","Seattle - Main","Executive laptop for Diane Prescott","Windows 11 Pro","SN-LAP-067-2024","LAP-067","10.214.10.61","00:11:22:33:EE:43","2025-08-02 11:46:15","True","Marketing","Dell","Latitude 9330"
"SEA-SALESE-068","Workstation","Arthur Yasinski","Dallas - South","Workstation for Sales Manager Arthur Yasinski","Windows 11 Pro","SN068-WS-2024","AT-068","10.214.46.10","00:11:22:33:44:44","2025-08-01 16:46:15","True","Sales Engagement Management","Dell","OptiPlex 3090"
"MOBILE-038","Mobile Device","Arthur Yasinski","Dallas - South","Mobile device for Arthur Yasinski","iOS 17","IMEI-038-2024","MOB-038","10.214.46.11","","2025-08-02 14:46:15","True","Sales Engagement Management","Apple","iPhone 15"
"LAPTOP-068","Workstation","Arthur Yasinski","Dallas - South","Executive laptop for Arthur Yasinski","Windows 11 Pro","SN-LAP-068-2024","LAP-068","10.214.46.12","00:11:22:33:EE:44","2025-08-02 11:46:15","True","Sales Engagement Management","Dell","Latitude 9330"
"NYC-STRATE-069","Workstation","Brad Sutton","New York - Strategy","Workstation for Strategy Consulting Manager Brad Sutton","Windows 11 Pro","SN069-WS-2024","AT-069","10.214.26.22","00:11:22:33:44:45","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-039","Mobile Device","Brad Sutton","New York - Strategy","Mobile device for Brad Sutton","iOS 17","IMEI-039-2024","MOB-039","10.214.26.23","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LAPTOP-069","Workstation","Brad Sutton","New York - Strategy","Executive laptop for Brad Sutton","Windows 11 Pro","SN-LAP-069-2024","LAP-069","10.214.26.24","00:11:22:33:EE:45","2025-08-02 11:46:15","True","Strategy Consulting","Dell","Latitude 9330"
"SEA-HUMANR-070","Workstation","Amy Alberts","Seattle - Main","Workstation for HR Manager Amy Alberts","Windows 11 Pro","SN070-WS-2024","AT-070","10.214.10.62","00:11:22:33:44:46","2025-08-01 16:46:15","True","Human Resources","Dell","OptiPlex 5090"
"MOBILE-040","Mobile Device","Amy Alberts","Seattle - Main","Mobile device for Amy Alberts","iOS 17","IMEI-040-2024","MOB-040","10.214.10.63","","2025-08-02 14:46:15","True","Human Resources","Apple","iPhone 15"
"LAPTOP-070","Workstation","Amy Alberts","Seattle - Main","Executive laptop for Amy Alberts","Windows 11 Pro","SN-LAP-070-2024","LAP-070","10.214.10.64","00:11:22:33:EE:46","2025-08-02 11:46:15","True","Human Resources","Dell","Latitude 9330"
"SEA-SALES-071","Workstation","Steve Luper","Seattle - Main","Workstation for Regional Sales Manager Steve Luper","Windows 11 Pro","SN071-WS-2024","AT-071","10.214.10.65","00:11:22:33:44:47","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-041","Mobile Device","Steve Luper","Seattle - Main","Mobile device for Steve Luper","iOS 17","IMEI-041-2024","MOB-041","10.214.10.66","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-071","Workstation","Steve Luper","Seattle - Main","Executive laptop for Steve Luper","Windows 11 Pro","SN-LAP-071-2024","LAP-071","10.214.10.67","00:11:22:33:EE:47","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"SEA-SENIOR-072","Workstation","Julian Isla","Seattle - Main","Workstation for Sr. Business Development Manager Julian Isla","Windows 11 Enterprise","SN072-WS-2024","AT-072","10.214.10.68","00:11:22:33:44:48","2025-08-01 16:46:15","True","Senior Management","Dell","OptiPlex 7090"
"MOBILE-042","Mobile Device","Julian Isla","Seattle - Main","Mobile device for Julian Isla","iOS 17","IMEI-042-2024","MOB-042","10.214.10.69","","2025-08-02 14:46:15","True","Senior Management","Apple","iPhone 15 Pro"
"LAPTOP-072","Workstation","Julian Isla","Seattle - Main","Executive laptop for Julian Isla","Windows 11 Enterprise","SN-LAP-072-2024","LAP-072","10.214.10.70","00:11:22:33:EE:48","2025-08-02 11:46:15","True","Senior Management","Dell","Latitude 9330"
"SEA-PROJEC-073","Workstation","Scott Bishop","Seattle - Main","Workstation for Senior Project Manager Scott Bishop","Windows 11 Pro","SN073-WS-2024","AT-073","10.214.10.71","00:11:22:33:44:49","2025-08-01 16:46:15","True","Project Management","Dell","OptiPlex 5090"
"MOBILE-043","Mobile Device","Scott Bishop","Seattle - Main","Mobile device for Scott Bishop","iOS 17","IMEI-043-2024","MOB-043","10.214.10.72","","2025-08-02 14:46:15","True","Project Management","Apple","iPhone 15"
"LAPTOP-073","Workstation","Scott Bishop","Seattle - Main","Executive laptop for Scott Bishop","Windows 11 Pro","SN-LAP-073-2024","LAP-073","10.214.10.73","00:11:22:33:EE:49","2025-08-02 11:46:15","True","Project Management","Dell","Latitude 9330"
"SEA-MARKET-074","Workstation","Kelly Krout","Seattle - Main","Workstation for Marketing Manager Kelly Krout","Windows 11 Pro","SN074-WS-2024","AT-074","10.214.10.74","00:11:22:33:44:4A","2025-08-01 16:46:15","True","Marketing","Dell","OptiPlex 5090"
"MOBILE-044","Mobile Device","Kelly Krout","Seattle - Main","Mobile device for Kelly Krout","iOS 17","IMEI-044-2024","MOB-044","10.214.10.75","","2025-08-02 14:46:15","True","Marketing","Apple","iPhone 15"
"LAPTOP-074","Workstation","Kelly Krout","Seattle - Main","Executive laptop for Kelly Krout","Windows 11 Pro","SN-LAP-074-2024","LAP-074","10.214.10.76","00:11:22:33:EE:4A","2025-08-02 11:46:15","True","Marketing","Dell","Latitude 9330"
"SEA-CONTEN-075","Workstation","Stan Orme","Seattle - Main","Workstation for Content Management Consulting Manager Stan Orme","Windows 11 Pro","SN075-WS-2024","AT-075","10.214.10.77","00:11:22:33:44:4B","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
