"Key","GivenName","Surname","DisplayName","Department","JobTitle","UsageLocation","AccountEnabled","Manager","EmployeeId","EmployeeType","MailDiffersFromUpn","Tier","Purpose"
"jennim","Jenni","Merrifield","Jenni Merrifield","Strategy Consulting","Strategy Consultant","IE","TRUE","davidm","EMP038","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"keithd","Keith","Dishmo","Keith Dishmo","Operations","Procurement Manager","GB","TRUE","adamb","EMP039","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"joses","Jose","Saraiva","Jose Saraiva","Sales","Sales Manager","DE","TRUE","larryz","EMP040","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales)"
"lenea","Lene","Aalling","Lene Aalling","Sales Engagement Management","Sales Manager","GB","TRUE","stevel","EMP041","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Sales Engagement Management)"
"barryj","Barry","Johnson","Barry Johnson","Project Management","Project Manager","JP","TRUE","alans","EMP042","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"ellena","Ellen","Adams","Ellen Adams","Strategy Consulting","Strategy Consulting Manager","IE","TRUE","christk","EMP043","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"bens","Ben","Spain","Ben Spain","Operations","Manager","US","TRUE","adamb","EMP044","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"davidz","David","Zazzo","David Zazzo","Engineering Operations","Managing Director","CA","TRUE","adamb","EMP045","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"carolt","Carol","Troup","Carol Troup","Engineering Operations","Strategy Consulting Manager","ES","TRUE","davidz","EMP046","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"erikac","Erika","Cheley","Erika Cheley","Operations","Manager","GB","TRUE","bens","EMP047","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Operations)"
"briang","Brian","Groth","Brian Groth","Project Management","Project Manager","US","TRUE","barryj","EMP048","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Project Management)"
"syeda","Syed","Abbas","Syed Abbas","CRM Strategy","CRM Consulting Manager","US","TRUE","aaronp","EMP049","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"pedert","Peder","Thode","Peder Thode","Content Management Consulting","Content Management Consultant","ES","TRUE","stano","EMP050","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"maryc","Mary","Cha","Mary Cha","Content Management Consulting","Content Management Consultant","IE","TRUE","stano","EMP051","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"lisaa","Lisa","Andrews","Lisa Andrews","Content Management Consulting","Content Management Consultant","US","TRUE","stano","EMP052","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"jiml","Jim","Lucey","Jim Lucey","Content Management Consulting","Content Management Consultant","US","TRUE","stano","EMP053","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"garethc","Gareth","Chan","Gareth Chan","Content Management Consulting","Content Management Consultant","US","TRUE","stano","EMP054","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"karinl","Karin","Lamb","Karin Lamb","CRM Strategy","CRM Consultant","AU","TRUE","syeda","EMP055","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"davidh","David","Hamilton","David Hamilton","Content Management Consulting","CRM Consultant","IE","TRUE","stano","EMP056","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"meravs","Merav","Sror","Merav Sror","CRM Strategy","CRM Consultant","US","TRUE","syeda","EMP057","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"reinac","Reina","Cabatana","Reina Cabatana","Content Management Consulting","Content Management Consultant","AU","TRUE","stano","EMP058","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"robiny","Robin","Young","Robin Young","Content Management Consulting","Content Management Consultant","GB","TRUE","stano","EMP059","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"peters","Peter","Saddow","Peter Saddow","Content Management Consulting","Content Management Consultant","IE","TRUE","stano","EMP060","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"vladime","Vladimir","Egorov","Vladimir Egorov","Content Management Consulting","Content Management Consultant","US","TRUE","stano","EMP061","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"estherv","Esther","Valle","Esther Valle","Content Management Consulting","Content Management Consultant","DE","TRUE","stano","EMP062","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"lorik","Lori","Kane","Lori Kane","Strategy Consulting","Strategy Consultant","AU","TRUE","brads","EMP063","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"cliffd","Cliff","Diddier","Cliff Diddier","Engineering Operations","Engineer","JP","TRUE","carolt","EMP064","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"cheny","Chen","Yang","Chen Yang","Engineering Operations","Engineer","US","TRUE","carolt","EMP065","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"bernart","Bernard","Tham","Bernard Tham","Engineering Operations","Engineer","ES","TRUE","carolt","EMP066","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"aris","Ari","Suominen","Ari Suominen","Engineering Operations","Engineer","JP","TRUE","carolt","EMP067","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"anud","Anu","Deshpande","Anu Deshpande","Creative","Engineer","IE","TRUE","carolt","EMP068","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Creative)"
"allang","Allan","Guinot","Allan Guinot","Engineering Operations","Engineer","GB","TRUE","carolt","EMP069","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"tobyn","Toby","Nixon","Toby Nixon","CRM Strategy","CRM Consultant","AU","TRUE","syeda","EMP070","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"tado","Tad","Orman","Tad Orman","CRM Strategy","CRM Consultant","CA","TRUE","syeda","EMP071","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"jeffw","Jeff","Williams","Jeff Williams","CRM Strategy","CRM Consultant","IE","TRUE","syeda","EMP072","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"frankm","Frank","Miller","Frank Miller","Strategy Consulting","Strategy Consultant","CA","TRUE","davidm","EMP073","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"williav","William","Vong","William Vong","Strategy Consulting","Strategy Consultant","AU","TRUE","cesarg","EMP074","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"sameert","Sameer","Tejani","Sameer Tejani","Strategy Consulting","Strategy Consultant","US","TRUE","ellena","EMP075","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"jonj","Jon","Jaffe","Jon Jaffe","Strategy Consulting","Strategy Consultant","IE","TRUE","brads","EMP076","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"miker","Mike","Ray","Mike Ray","Strategy Consulting","Strategy Consultant","JP","TRUE","davidm","EMP077","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"roberto","Robert","O'Hara","Robert O'Hara","Content Management Consulting","Content Management Consultant","US","TRUE","stano","EMP078","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"lisam","Lisa","Miller","Lisa Miller","Strategy Consulting","Strategy Consultant","DE","TRUE","cesarg","EMP079","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"jasonc","Jason","Carlson","Jason Carlson","CRM Strategy","CRM Consultant","CA","TRUE","syeda","EMP080","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"jimc","Jim","Corbin","Jim Corbin","Strategy Consulting","Strategy Consultant","DE","TRUE","davidm","EMP081","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"jesuse","Jesus","Escolar","Jesus Escolar","Strategy Consulting","Strategy Consultant","ES","TRUE","aaronp","EMP082","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"idanr","Idan","Rubin","Idan Rubin","Strategy Consulting","Strategy Consultant","US","TRUE","brads","EMP083","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"donh","Don","Hall","Don Hall","Strategy Consulting","Strategy Consultant","GB","TRUE","ellena","EMP084","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"blained","Blaine","Dockter","Blaine Dockter","Strategy Consulting","Strategy Consultant","IE","TRUE","ellena","EMP085","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"annew","Anne","Weiler","Anne Weiler","Strategy Consulting","Strategy Consultant","GB","TRUE","cesarg","EMP086","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"allisob","Allison","Brown","Allison Brown","Strategy Consulting","Strategy Consultant","ES","TRUE","aaronp","EMP087","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"valeryu","Valery","Ushakov","Valery Ushakov","Engineering Operations","Engineer","IE","TRUE","carolt","EMP088","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Engineering Operations)"
"toshm","Tosh","Meston","Tosh Meston","CRM Strategy","CRM Consultant","AU","TRUE","syeda","EMP089","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (CRM Strategy)"
"sanjayp","Sanjay","Patel","Sanjay Patel","Content Management Consulting","Content Management Consultant","JP","TRUE","stano","EMP090","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Content Management Consulting)"
"rolandw","Roland","Wacker","Roland Wacker","Strategy Consulting","Strategy Consultant","IE","TRUE","aaronp","EMP091","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"davidd","David","Derwin","David Derwin","1099 Contractor","Project Manager","US","TRUE","briang","EMP092","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"johny","John","Yokum","John Yokum","Strategy Consulting","Strategy Consultant","CA","TRUE","ellena","EMP093","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Strategy Consulting)"
"scottr","Scott","Rockfield","Scott Rockfield","1099 Contractor","Project Manager","GB","TRUE","briang","EMP094","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"humbera","Humberto","Acevedo","Humberto Acevedo","1099 Contractor","Project Manager","ES","TRUE","briang","EMP095","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"davids1","David","So","David So","1099 Contractor","Project Manager","JP","TRUE","briang","EMP096","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"andersm","Anders","Madsen","Anders Madsen","1099 Contractor","Project Manager","GB","TRUE","briang","EMP097","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"alexans","Alexandre","Silva","Alexandre Silva","1099 Contractor","Project Manager","JP","TRUE","briang","EMP098","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"stuartm","Stuart","Munson","Stuart Munson","1099 Contractor","Project Manager","IE","TRUE","briang","EMP099","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"qiongw","Qiong","Wu","Qiong Wu","1099 Contractor","Project Manager","US","TRUE","briang","EMP100","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"michiko","Michiko","Osada","Michiko Osada","1099 Contractor","Project Manager","IE","TRUE","briang","EMP101","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"michaez","Michael","Zeman","Michael Zeman","1099 Contractor","Project Manager","DE","TRUE","briang","EMP102","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"maurict","Maurice","Taylor","Maurice Taylor","1099 Contractor","Project Manager","US","TRUE","briang","EMP103","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"guidop","Guido","Pica","Guido Pica","1099 Contractor","Project Manager","ES","TRUE","briang","EMP104","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"jessica","Jessica","Arnold","Jessica Arnold","1099 Contractor","Project Manager","GB","TRUE","briang","EMP105","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"chasec","Chase","Carpenter","Chase Carpenter","Accounting","Accountant","IE","TRUE","karimm","EMP106","Full-time","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Accounting)"
"terrenp","Terrence","Phillip","Terrence Phillip","1099 Contractor","Strategy Consultant","DE","TRUE","jennim","EMP107","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"hugog","Hugo","Garcia","Hugo Garcia","1099 Contractor","Strategy Consultant","IE","TRUE","jennim","EMP108","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"jeremyl","Jeremy","Los","Jeremy Los","1099 Contractor","Strategy Consultant","US","TRUE","jennim","EMP109","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"johng","John","Ganio","John Ganio","1099 Contractor","Strategy Consultant","CA","TRUE","jennim","EMP110","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"linaa","Lina","Abola","Lina Abola","1099 Contractor","Strategy Consultant","CA","TRUE","jennim","EMP111","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"markh","Mark","Hanson","Mark Hanson","1099 Contractor","Strategy Consultant","AU","TRUE","jennim","EMP112","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"jakas","Jaka","Stele","Jaka Stele","1099 Contractor","Project Manager","US","TRUE","briang","EMP113","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"stevenw","Steven","Wright","Steven Wright","1099 Contractor","Strategy Consultant","AU","TRUE","jennim","EMP114","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"doughm","Dough","Mahugh","Dough Mahugh","1099 Contractor","Project Manager","CA","TRUE","briang","EMP115","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"andread","Andrea","Dunker","Andrea Dunker","1099 Contractor","Project Manager","JP","TRUE","briang","EMP116","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"carlosg","Carlos","Grilo","Carlos Grilo","1099 Contractor","Project Manager","IE","TRUE","briang","EMP117","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
"chrism","Chris","McGurk","Chris McGurk","1099 Contractor","Project Manager","US","TRUE","briang","EMP118","Contractor","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (1099 Contractor)"
